"time","Tipo de Recebimento","(%)"
2026-01-01 00:00:00,Pix,49.4%
2026-01-01 00:00:00,Boleto,42.4%
2026-01-01 00:00:00,Cartão de Crédito,5.9%
2026-01-01 00:00:00,POS,2.2%
2026-01-01 00:00:00,Pix Automático,0.1%
2026-02-01 00:00:00,Pix,49.7%
2026-02-01 00:00:00,Boleto,42.0%
2026-02-01 00:00:00,Cartão de Crédito,6.0%
2026-02-01 00:00:00,POS,2.2%
2026-02-01 00:00:00,Pix Automático,0.1%
2026-03-01 00:00:00,Pix,50.2%
2026-03-01 00:00:00,Boleto,41.7%
2026-03-01 00:00:00,Cartão de Crédito,6.0%
2026-03-01 00:00:00,POS,2.1%
2026-03-01 00:00:00,Pix Automático,0.1%